anio,media_uyu_por_brl,desvio_uyu_por_brl,minimo_uyu_por_brl,maximo_uyu_por_brl,observaciones
2006,10.568139467819938,0.2935307483777635,9.726404904818654,11.80515623047628,198
2007,11.746382264024044,0.5280868530899756,10.8204046751143,12.698395638152574,257
2008,11.309746891604272,0.7718214442199504,8.84499991556009,12.351669062676711,242
2009,11.227175973200971,0.7956788861685723,9.488461508286932,12.6816668161198,258
2010,11.15806471500943,0.5623249883520607,9.84401595663939,12.243525341620993,260
2011,11.287215656082282,0.38872963412496275,10.306373092186044,12.038378381728888,259
2012,10.146512215641504,0.5741662138864573,8.892654850317827,11.185132859688766,261
2013,9.265013809158042,0.23656254596250664,8.581992257191299,9.854315416587523,259
2014,9.707716213190857,0.5550688631612011,8.612458268026543,10.705908757400554,261
2015,8.101349680773597,0.5630206972068198,6.780436644476091,9.355077217166174,261
2016,8.525663993862727,0.4687927923907364,7.33889613773607,9.346737971316868,261
2017,8.82618079616285,0.20936752951262272,8.150786413325397,9.2414196988419,258
2018,8.38434122611401,0.3277233484747787,7.609193887400274,9.02673947917698,261
2019,8.869410900989482,0.21509997435561656,8.322164938951326,9.434012749948597,260
2020,8.087813180245082,0.4627721002869246,7.206411801327093,9.163455538258573,262
2021,7.991595969227468,0.2972787580454817,7.393235464262822,8.771772079863888,261
2022,7.88438015170068,0.41691500426189143,7.155838594617193,8.855229801955524,260
2023,7.670182848573342,0.19984185778114424,7.1311437555481225,8.120142286978105,260
2024,7.370902084481537,0.2722307985377018,6.8090253070467694,7.991923623801848,262
2025,7.267675733834075,0.12038320670555439,6.867051295112389,7.5059763908358015,257
2026,7.550136208044215,0.3212022870692166,7.001193289721188,8.066067587140871,106
